Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability,MVP
ZIMBABWE,272,Richard Ngarava,NO,29,25,6.25,104.16,28,7.82,0.04,0.97,0.12,0.16,0.02,NO
ZIMBABWE,273,Sikandar Raza*,YES,64,1185,20.43,127.55,37,7.21,0.16,0.58,0.08,0.24,0.02,YES
ZIMBABWE,274,Brad Evans,NO,6,30,10,100,5,7.27,0.06,0.83,0.11,0.17,0.02,NO
ZIMBABWE,275,Clive Madande,NO,1,2,2,18.18,0,0,0,0,0,0,0.02,NO
ZIMBABWE,276,Wellington Masakadza,NO,35,82,7.45,86.31,31,7.22,0.04,0.89,0.12,0.16,0.02,NO
ZIMBABWE,277,Blessing Muzarabani*,YES,32,18,4.5,56.25,39,7.83,0.02,1.22,0.15,0.17,0.02,YES
ZIMBABWE,278,Milton Shumba,NO,29,383,21.27,108.49,4,8.58,0.14,0.14,0.02,0.16,0.02,NO
ZIMBABWE,279,Sean Williams,NO,64,1390,23.96,126.82,41,6.94,0.19,0.64,0.09,0.28,0.02,NO
WEST INDIES,296,Nicholas Pooran*,YES,72,1427,25.5,129,0,0,0.21,0,0,0.21,0,YES
WEST INDIES,297,Rovman Powell,NO,55,890,23.4,134.6,4,8.8,0.2,0.07,0.01,0.2,0,NO
WEST INDIES,298,Yannic Cariah,NO,2,3,0,75,1,7.16,0,0.5,0.07,0.07,0,NO
WEST INDIES,299,Johnson Charles,NO,38,825,22.3,121.1,0,0,0.17,0,0,0.17,0,NO
WEST INDIES,300,Sheldon Cottrell,NO,42,18,4.5,62.1,50,7.94,0.02,1.19,0.14,0.16,0,NO
WEST INDIES,301,Jason Holder,NO,49,385,15.4,120.7,51,8.17,0.12,1.04,0.12,0.24,0,NO
WEST INDIES,302,Akeal Hosein,NO,32,132,22,115.8,25,7.03,0.16,0.78,0.11,0.27,0,NO
WEST INDIES,303,Alzarri Joseph,NO,10,29,14.5,80.5,16,7.47,0.07,1.6,0.21,0.28,0,NO
WEST INDIES,304,Brandon King,NO,32,744,26.6,127,0,0,0.21,0,0,0.21,0,NO
WEST INDIES,305,Evin Lewis,YES,53,1465,29.9,152,0,0,0.28,0,0,0.28,0,YES
WEST INDIES,306,Kyle Mayers,NO,21,408,21.5,129.1,0,10,0.17,0,0,0.17,0,NO
WEST INDIES,307,Obed Mccoy,NO,27,63,10.5,114.5,38,8.38,0.08,1.41,0.16,0.24,0,NO
WEST INDIES,308,Raymon Reifer,NO,1,19,19,82.6,0,0,0.1,0,0,0.1,0,NO
WEST INDIES,309,Odean Smith,NO,24,162,13.5,139.7,24,9.84,0.12,1,0.1,0.22,0,NO
WEST INDIES,310,Shamarh Brooks,NO,13,218,19.8,102.8,0,0,0.13,0,0,0.13,0,NO
NAMIBIA,311,Gerhard Erasmus *,NO,44,1069,34.5,131.3,19,5.42,0.28,0.43,0.08,0.36,0,NO
NAMIBIA,312,JJ Smit,NO,34,591,32.8,148.1,34,6.82,0.3,1,0.14,0.44,0,NO
NAMIBIA,313,Divan la Cock,NO,8,241,34.4,138.5,0,11,0.3,0,0,0.3,0,NO
NAMIBIA,314,Stephan Baard,NO,30,759,28.1,113.3,0,0,0.2,0,0,0.2,0,NO
NAMIBIA,315,Nicol Loftie Eaton,NO,26,260,14.4,106.1,3,7.13,0.1,0.12,0.02,0.11,0,NO
